wavelength,a,bb
400.0,0.00222,0.0037906
405.0,0.002525,0.00359279
410.0,0.00266,0.00340707
415.0,0.00284,0.00323347
420.0,0.00312,0.00307023
425.0,0.003375,0.00291739
430.0,0.00376,0.00277347
435.0,0.004295,0.00263852
440.0,0.00522,0.00251126
445.0,0.006585,0.00239176
450.0,0.00808,0.00227892
455.0,0.0087,0.00217281
460.0,0.00909,0.0020725
465.0,0.00967,0.00197803
470.0,0.0103,0.00188862
475.0,0.01119,0.00180432
480.0,0.01214,0.00172443
485.0,0.01315,0.00164901
490.0,0.0146,0.00157747
495.0,0.01711,0.00150985
500.0,0.02073,0.00144563
505.0,0.02546,0.00138487
510.0,0.033,0.0013271
515.0,0.037795,0.00127239
520.0,0.03917,0.00122032
525.0,0.040525,0.00117095
530.0,0.04242,0.00112392
535.0,0.044885,0.00107929
540.0,0.04754,0.00103673
545.0,0.05132,0.000996303
550.0,0.05629,0.000957725
555.0,0.0596,0.000920261
560.0,0.0619,0.000885283
565.0,0.0642,0.000851954
570.0,0.0695,0.000820125
575.0,0.0772,0.000789744
580.0,0.0896,0.000760763
585.0,0.11,0.000733081
590.0,0.1351,0.000706597
595.0,0.1672,0.000681314
600.0,0.2224,0.000657129
605.0,0.2577,0.000633994
610.0,0.2644,0.000611858
615.0,0.2678,0.000590622
620.0,0.2755,0.000570335
625.0,0.2834,0.000550897
630.0,0.2916,0.000532259
635.0,0.3012,0.000514371
640.0,0.318,0.000497237
645.0,0.325,0.000480797
650.0,0.34,0.000465022
655.0,0.371,0.000449882
660.0,0.41,0.000435341
665.0,0.429,0.000421375
670.0,0.439,0.000407959
675.0,0.448,0.000395067
680.0,0.465,0.00038267
685.0,0.486,0.000370748
690.0,0.516,0.00035928
695.0,0.559,0.000348247
700.0,0.624,0.000337629
705.0,0.704,0.000327405
710.0,0.827,0.000317557
715,0.827,0.000317557
720,0.827,0.000317557
725,0.827,0.000317557
730,0.827,0.000317557
735,0.827,0.000317557
740,0.827,0.000317557
745,0.827,0.000317557
750,0.827,0.000317557
755,0.827,0.000317557
760,0.827,0.000317557
765,0.827,0.000317557
770,0.827,0.000317557
775,0.827,0.000317557
780,0.827,0.000317557
785,0.827,0.000317557
790,0.827,0.000317557
795,0.827,0.000317557
800,0.827,0.000317557
805,0.827,0.000317557
810,0.827,0.000317557
815,0.827,0.000317557
820,0.827,0.000317557
825,0.827,0.000317557
830,0.827,0.000317557
835,0.827,0.000317557
840,0.827,0.000317557
845,0.827,0.000317557
850,0.827,0.000317557
855,0.827,0.000317557
860,0.827,0.000317557
865,0.827,0.000317557
870,0.827,0.000317557
875,0.827,0.000317557
880,0.827,0.000317557
885,0.827,0.000317557
890,0.827,0.000317557
895,0.827,0.000317557
900,0.827,0.000317557
905,0.827,0.000317557
910,0.827,0.000317557
915,0.827,0.000317557
920,0.827,0.000317557
925,0.827,0.000317557
930,0.827,0.000317557
935,0.827,0.000317557
940,0.827,0.000317557
945,0.827,0.000317557
950,0.827,0.000317557
955,0.827,0.000317557
960,0.827,0.000317557
965,0.827,0.000317557
970,0.827,0.000317557
975,0.827,0.000317557
980,0.827,0.000317557
985,0.827,0.000317557
990,0.827,0.000317557
995,0.827,0.000317557
1000,0.827,0.000317557
1005,0.827,0.000317557
1010,0.827,0.000317557
1015,0.827,0.000317557
1020,0.827,0.000317557
